City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
40,sept-iles,50.2001,-66.3821,-12.75,76,75,3.13,CA,1675203849
41,polunochnoye,60.8697,60.4153,-9.27,93,100,2.13,RU,1675204114
42,lebu,-37.6167,-73.65,15.7,74,0,9.25,CL,1675204114
43,miri,4.4148,114.0089,24.08,94,40,2.57,MY,1675204115
44,hambantota,6.1241,81.1185,24.51,88,85,2.02,LK,1675204115
45,port alfred,-33.5906,26.891,21.21,94,12,0.89,ZA,1675203816
46,hermanus,-34.4187,19.2345,17.67,90,13,3.27,ZA,1675204116
47,butaritari,3.0707,172.7902,26.7,79,67,8.7,KI,1675204116
48,talnakh,69.4865,88.3972,-17.11,96,100,4.2,RU,1675204117
49,yerbogachen,61.2767,108.0108,-35.57,100,76,1.26,RU,1675204118
50,sao joao da barra,-21.6403,-41.0511,26.05,83,47,7.94,BR,1675204118
51,tasiilaq,65.6145,-37.6368,-11.91,80,100,2.74,GL,1675204119
52,warwick,41.7001,-71.4162,2.47,58,40,2.06,US,1675203984
53,punta arenas,-53.15,-70.9167,15.06,51,75,12.86,CL,1675204119
54,kaeo,-35.1,173.7833,22.4,93,72,2.96,NZ,1675204120
55,lincoln,40.8,-96.667,-2.22,41,0,6.69,US,1675203944
56,lorengau,-2.0226,147.2712,27.35,80,100,3.41,PG,1675204120
57,caravelas,-17.7125,-39.2481,24.89,81,26,3.04,BR,1675203935
58,jamestown,42.097,-79.2353,-6.1,62,40,2.06,US,1675204121
59,vao,-22.6667,167.4833,25.77,76,77,4.58,NC,1675204121
60,fortuna,40.5982,-124.1573,14.4,41,0,2.57,US,1675204121
61,sakakah,29.9697,40.2064,9.76,66,0,3.92,SA,1675204122
62,akdagmadeni,39.6603,35.8836,-1.53,92,100,1.92,TR,1675204122
63,sladkovo,55.5284,70.3385,-15.96,93,54,3.17,RU,1675204122
64,shwebo,22.5667,95.7,19.58,58,9,1.55,MM,1675204123
65,hithadhoo,-0.6,73.0833,27.11,77,28,4.84,MV,1675204123
66,arraial do cabo,-22.9661,-42.0278,24.98,78,0,7.72,BR,1675204124
67,alofi,-19.0595,-169.9187,27.94,78,97,3.6,NU,1675204124
68,hofn,64.2539,-15.2082,-1.2,65,99,9.45,IS,1675204124
69,half moon bay,37.4636,-122.4286,16.41,24,0,3.6,US,1675204125
70,asau,46.4333,26.4,-0.49,94,67,2.32,RO,1675204125
71,mezen,65.8522,44.24,-0.8,94,100,6.04,RU,1675204021
72,kosh-agach,50.0,88.6667,-29.06,80,81,1.13,RU,1675204126
73,narsaq,60.9167,-46.05,-6.88,94,100,0.72,GL,1675204126
74,port macquarie,-31.4333,152.9167,25.5,72,5,4.31,AU,1675204127
75,cidreira,-30.1811,-50.2056,25.04,83,18,3.11,BR,1675203934
76,namibe,-15.1961,12.1522,22.37,81,98,2.43,AO,1675203988
77,bethel,41.3712,-73.414,2.2,59,0,3.09,US,1675204128
78,afua,-0.1567,-50.3867,24.86,89,88,2.07,BR,1675204128
79,new norfolk,-42.7826,147.0587,18.72,62,53,1.34,AU,1675204129
80,norman wells,65.282,-126.8329,-25.98,76,40,4.12,CA,1675203889
81,beruwala,6.4788,79.9828,24.13,86,100,5.24,LK,1675204129
82,bell ville,-32.6259,-62.6887,36.12,23,4,2.45,AR,1675204130
83,sayat,38.7839,63.8803,5.47,77,100,5.84,TM,1675204130
84,batagay-alyta,67.8006,130.4114,-23.99,99,100,0.69,RU,1675204130
85,clyde river,70.4692,-68.5914,-31.87,83,0,1.54,CA,1675204131
86,ixtapa,20.7,-105.2,25.68,65,20,4.63,MX,1675203839
87,ancud,-41.8697,-73.8203,16.84,58,0,2.36,CL,1675203898
88,padang,-0.9492,100.3543,23.03,88,100,1.9,ID,1675204131
89,fare,-16.7,-151.0167,27.12,75,64,6.17,PF,1675204132
90,ketchikan,55.3422,-131.6461,5.99,93,100,2.06,US,1675204132
91,hornepayne,49.2138,-84.7705,-13.4,83,39,4.53,CA,1675204132
92,bluff,-46.6,168.3333,15.67,97,100,0.89,NZ,1675204133
93,krasnoselkup,65.7,82.4667,-22.58,100,70,3.91,RU,1675204133
94,nuuk,64.1835,-51.7216,-10.66,67,20,9.26,GL,1675204042
95,nikolskoye,59.7035,30.7861,-0.05,93,98,3.66,RU,1675204134
96,longyearbyen,78.2186,15.6401,-9.09,67,40,6.69,SJ,1675204134
97,xuddur,4.1213,43.8894,23.12,36,4,5.08,SO,1675204135
98,east london,-33.0153,27.9116,22.9,89,83,5.81,ZA,1675204135
99,lavrentiya,65.5833,-171.0,-5.27,97,100,1.03,RU,1675204136
100,bambanglipuro,-7.95,110.2833,24.8,89,100,1.77,ID,1675204136
101,storforshei,66.4043,14.5233,-6.12,92,75,0.51,NO,1675204136
102,yar-sale,66.8333,70.8333,-11.41,92,100,6.99,RU,1675204137
103,serra talhada,-7.9919,-38.2983,26.23,60,63,5.45,BR,1675204137
104,suraabad,40.8192,49.4687,6.83,88,100,1.59,AZ,1675204137
105,palu,-0.8917,119.8707,24.54,98,100,0.39,ID,1675204138
106,college,64.8569,-147.8028,-6.78,84,100,2.57,US,1675204138
107,terrak,65.087,12.3715,-2.07,95,57,0.91,NO,1675204138
108,bilma,18.6853,12.9164,17.81,21,97,5.0,NE,1675204139
109,broome,42.2506,-75.833,-4.08,66,0,3.09,US,1675204139
110,palmas de monte alto,-14.2672,-43.1619,23.99,55,19,2.18,BR,1675204139
111,tura,25.5198,90.2201,15.88,56,95,0.79,IN,1675204140
112,kuybysheve,47.358,36.6491,-2.33,86,32,1.51,UA,1675204140
113,dudinka,69.4058,86.1778,-16.88,94,100,5.88,RU,1675204141
114,castro,-24.7911,-50.0119,17.66,98,100,0.85,BR,1675204141
115,sao filipe,14.8961,-24.4956,21.62,71,59,5.34,CV,1675204141
116,berlevag,70.8578,29.0864,-0.03,86,75,11.32,NO,1675203995
